CGID,Street,Hundred Block,Length (Ft),Width (Ft),Area (yds2),SurfType,Class,% Curbed,Original PCI,Est 2012 PCI
1927,ABBY LN,100,1100,25,3055.555556,AC,RUR,0,72.45,59.11
1428,ADAMS DR,700,1156,30,3853.333333,AC,LOC,0,11.25,3.87
1429,ADAMS DR,0,422,30,1406.666667,AC,LOC,0,3.05,0
1794,ADAMS DR,0,439,30,1463.333333,AC,LOC,0,0,0
1347,AKARD AVE,100,472,30,1573.333333,AC,LOC,0,19.6,12.22
1348,AKARD AVE,100,102,35,396.6666667,AC,COL,0,17.6,9.58
1350,AKARD AVE,300,442,30,1473.333333,AC,LOC,0,34.1,26.72
1354,AKARD AVE,400,689,30,2296.666667,AC,LOC,85.8,34.8,27.42
3025,AKARD AVE,200,373,30,1243.333333,AC,LOC,50,29.2,21.82
175,AKARD ST,200,353,30,1176.666667,AC,LOC,100,78,63.76
308,AKARD ST,100,566,30,1886.666667,AC,LOC,100,55,42.68
672,AKARD ST,300,269,30,896.6666667,AC,LOC,100,80.4,66.16
306,ALAMEDA ST,300,345,30,1150,AC,LOC,55.6,84.4,70.16
3096,ALAMEDA ST,300,348,30,1160,AC,LOC,40.6,85.4,72.97
73,ALAMO ST,200,350,30,1166.666667,AC,LOC,54.5,7.5,0.12
74,ALAMO ST,300,552,30,1840,AC,LOC,0,1.7,0
75,ALAMO ST,400,614,30,2046.666667,AC,LOC,0,0,0
118,ALAMO ST,100,350,30,1166.666667,AC,LOC,100,32.35,24.97
119,ALAMO ST,100,227,30,756.6666667,AC,LOC,100,27.6,20.22
245,ALAMO ST,100,225,30,750,AC,LOC,100,21.3,86.85
246,ALAMO ST,100,353,30,1176.666667,AC,LOC,100,12.1,86.85
247,ALAMO ST,200,350,30,1166.666667,AC,LOC,100,22.2,87.85
248,ALAMO ST,300,635,30,2116.666667,AC,LOC,100,17.8,87.85
249,ALAMO ST,400,385,30,1283.333333,AC,LOC,100,12.55,86.85
250,ALAMO ST,500,292,30,973.3333333,AC,LOC,100,15.4,86.85
251,ALAMO ST,600,242,30,806.6666667,AC,LOC,100,21.3,13.92
252,ALAMO ST,700,274,30,913.3333333,AC,LOC,100,22.8,15.42
253,ALAMO ST,800,728,30,2426.666667,AC,LOC,100,19.9,12.52
395,ALAMO ST,900,414,30,1380,AC,LOC,100,23.1,15.72
803,ALAMO ST,0,446,30,1486.666667,AC,LOC,100,23.6,16.22
3095,ALAMO ST,800,466,30,1553.333333,AC,LOC,0,56.4,44.08
704,ALFORD DR,100,897,30,2990,AC,LOC,100,87.3,77.43
1601,ALLEN ST,200,1448,30,4826.666667,AC,LOC,61.1,23.8,16.42
1621,ALLEN ST,100,678,30,2260,AC,LOC,100,46.4,36.39
1622,ALLEN ST,0,108,30,360,AC,LOC,100,21.2,13.82
1928,ALMA CT,100,254,25,705.5555556,AC,RUR,0,79.95,65.71
1929,ALMA CT,100,544,25,1511.111111,AC,RUR,0,77.55,63.31
1930,ALMA DR,300,805,25,2236.111111,AC,RUR,0,83.7,69.46
1589,ALPINE DR,300,1037,30,3456.666667,AC,LOC,100,91.8,85.77
3058,ALYSSA CT,0,313,25,869.4444444,AC,RUR,0,80.6,66.36
3060,ALYSSA CT,0,316,25,877.7777778,AC,RUR,0,90.5,84.47
394,ANDERSON ST,100,559,30,1863.333333,AC,LOC,100,73.7,94.65
612,ANDERSON ST,300,621,30,2070,AC,LOC,100,60.6,93.45
613,ANDERSON ST,200,353,30,1176.666667,AC,LOC,100,69.5,94.05
616,ANDERSON ST,900,567,30,1890,AC,LOC,97.8,78.1,63.86
1314,ANDERSON ST,500,247,30,823.3333333,AC,LOC,100,18.2,10.82
1315,ANDERSON ST,600,700,30,2333.333333,AC,LOC,100,14.3,6.92
1316,ANDERSON ST,700,860,35,3344.444444,AC,COL,100,43.6,33.11
1317,ANDERSON ST,700,582,35,2263.333333,AC,COL,100,25,16.98
2993,ANDERSON ST,400,287,30,956.6666667,AC,LOC,98.9,87.1,75.95
1269,ANN ST,1300,692,30,2306.666667,AC,LOC,100,81.5,67.26
1310,ANN ST,1200,571,30,1903.333333,AC,LOC,100,35.9,28.52
1311,ANN ST,0,316,30,1053.333333,AC,LOC,100,59,46.68
1427,ANN ST,0,677,30,2256.666667,AC,LOC,70.8,42.8,33.56
